state_name,state_abbr,county_name,state_fips,county_fips,year,unemployment_rate
Alabama,AL,Autauga,1,1,1990,6.5
Alabama,AL,Autauga,1,1,1991,6.7
Alabama,AL,Autauga,1,1,1992,6.5
Alabama,AL,Autauga,1,1,1993,5.9
Alabama,AL,Autauga,1,1,1994,5
Alabama,AL,Autauga,1,1,1995,5.6
Alabama,AL,Autauga,1,1,1996,3.9
Alabama,AL,Autauga,1,1,1997,3.9
Alabama,AL,Autauga,1,1,1998,3.2
Alabama,AL,Autauga,1,1,1999,3.8
Alabama,AL,Autauga,1,1,2000,4.1
Alabama,AL,Autauga,1,1,2001,4.1
Alabama,AL,Autauga,1,1,2002,4.8
Alabama,AL,Autauga,1,1,2003,5
Alabama,AL,Autauga,1,1,2004,4.7
Alabama,AL,Autauga,1,1,2005,3.8
Alabama,AL,Autauga,1,1,2006,3.3
Alabama,AL,Autauga,1,1,2007,3.4
Alabama,AL,Autauga,1,1,2008,5.4
Alabama,AL,Autauga,1,1,2009,8.6
Alabama,AL,Autauga,1,1,2010,8.8
Alabama,AL,Autauga,1,1,2011,8.3
Alabama,AL,Autauga,1,1,2012,7.1
Alabama,AL,Autauga,1,1,2013,6.3
Alabama,AL,Autauga,1,1,2014,5.8
Alabama,AL,Autauga,1,1,2015,5.2
Alabama,AL,Autauga,1,1,2016,5.1
Alabama,AL,Autauga,1,1,2017,4
Alabama,AL,Autauga,1,1,2018,3.6
Alabama,AL,Autauga,1,1,2019,2.9
Alabama,AL,Autauga,1,1,2020,5.3
Alabama,AL,Autauga,1,1,2021,2.7
Alabama,AL,Autauga,1,1,2022,2.2
Alabama,AL,Autauga,1,1,2023,2.1
Alabama,AL,Autauga,1,1,2024,2.7
Alabama,AL,Baldwin,1,3,1990,5.3
Alabama,AL,Baldwin,1,3,1991,5.5
Alabama,AL,Baldwin,1,3,1992,6.2
Alabama,AL,Baldwin,1,3,1993,6
Alabama,AL,Baldwin,1,3,1994,4.8
Alabama,AL,Baldwin,1,3,1995,4.7
Alabama,AL,Baldwin,1,3,1996,4.4
Alabama,AL,Baldwin,1,3,1997,3.5
Alabama,AL,Baldwin,1,3,1998,2.8
Alabama,AL,Baldwin,1,3,1999,3.3
Alabama,AL,Baldwin,1,3,2000,3.7
Alabama,AL,Baldwin,1,3,2001,4.3
Alabama,AL,Baldwin,1,3,2002,5
Alabama,AL,Baldwin,1,3,2003,4.9
Alabama,AL,Baldwin,1,3,2004,5.1
Alabama,AL,Baldwin,1,3,2005,4
Alabama,AL,Baldwin,1,3,2006,3.2
Alabama,AL,Baldwin,1,3,2007,3.2
Alabama,AL,Baldwin,1,3,2008,4.8
Alabama,AL,Baldwin,1,3,2009,8.6
Alabama,AL,Baldwin,1,3,2010,9.9
Alabama,AL,Baldwin,1,3,2011,8.9
Alabama,AL,Baldwin,1,3,2012,7.7
Alabama,AL,Baldwin,1,3,2013,6.8
Alabama,AL,Baldwin,1,3,2014,6.1
Alabama,AL,Baldwin,1,3,2015,5.5
Alabama,AL,Baldwin,1,3,2016,4.9
Alabama,AL,Baldwin,1,3,2017,3.8
Alabama,AL,Baldwin,1,3,2018,3.3
Alabama,AL,Baldwin,1,3,2019,2.7
Alabama,AL,Baldwin,1,3,2020,5.7
Alabama,AL,Baldwin,1,3,2021,2.7
