state_name,state_abbr,county_name,state_fips,county_fips,year,unemployment_rate
Alabama,AL,Autauga,01,001,1990,6.5
Alabama,AL,Autauga,01,001,1991,6.7
Alabama,AL,Autauga,01,001,1992,6.5
Alabama,AL,Autauga,01,001,1993,5.9
Alabama,AL,Autauga,01,001,1994,5.0
Alabama,AL,Autauga,01,001,1995,5.6
Alabama,AL,Autauga,01,001,1996,3.9
Alabama,AL,Autauga,01,001,1997,3.9
Alabama,AL,Autauga,01,001,1998,3.2
Alabama,AL,Autauga,01,001,1999,3.8
Alabama,AL,Autauga,01,001,2000,4.1
Alabama,AL,Autauga,01,001,2001,4.1
Alabama,AL,Autauga,01,001,2002,4.8
Alabama,AL,Autauga,01,001,2003,5.0
Alabama,AL,Autauga,01,001,2004,4.7
Alabama,AL,Autauga,01,001,2005,3.8
Alabama,AL,Autauga,01,001,2006,3.3
Alabama,AL,Autauga,01,001,2007,3.4
Alabama,AL,Autauga,01,001,2008,5.4
Alabama,AL,Autauga,01,001,2009,8.6
Alabama,AL,Autauga,01,001,2010,8.8
Alabama,AL,Autauga,01,001,2011,8.3
Alabama,AL,Autauga,01,001,2012,7.1
Alabama,AL,Autauga,01,001,2013,6.3
Alabama,AL,Autauga,01,001,2014,5.8
Alabama,AL,Autauga,01,001,2015,5.2
Alabama,AL,Autauga,01,001,2016,5.1
Alabama,AL,Autauga,01,001,2017,4.0
Alabama,AL,Autauga,01,001,2018,3.6
Alabama,AL,Autauga,01,001,2019,2.9
Alabama,AL,Autauga,01,001,2020,5.3
Alabama,AL,Autauga,01,001,2021,2.7
Alabama,AL,Autauga,01,001,2022,2.2
Alabama,AL,Autauga,01,001,2023,2.1
Alabama,AL,Autauga,01,001,2024,2.7
Alabama,AL,Baldwin,01,003,1990,5.3
Alabama,AL,Baldwin,01,003,1991,5.5
Alabama,AL,Baldwin,01,003,1992,6.2
Alabama,AL,Baldwin,01,003,1993,6.0
Alabama,AL,Baldwin,01,003,1994,4.8
Alabama,AL,Baldwin,01,003,1995,4.7
Alabama,AL,Baldwin,01,003,1996,4.4
Alabama,AL,Baldwin,01,003,1997,3.5
Alabama,AL,Baldwin,01,003,1998,2.8
Alabama,AL,Baldwin,01,003,1999,3.3
Alabama,AL,Baldwin,01,003,2000,3.7
Alabama,AL,Baldwin,01,003,2001,4.3
Alabama,AL,Baldwin,01,003,2002,5.0
Alabama,AL,Baldwin,01,003,2003,4.9
Alabama,AL,Baldwin,01,003,2004,5.1
Alabama,AL,Baldwin,01,003,2005,4.0
Alabama,AL,Baldwin,01,003,2006,3.2
Alabama,AL,Baldwin,01,003,2007,3.2
Alabama,AL,Baldwin,01,003,2008,4.8
Alabama,AL,Baldwin,01,003,2009,8.6
Alabama,AL,Baldwin,01,003,2010,9.9
Alabama,AL,Baldwin,01,003,2011,8.9
Alabama,AL,Baldwin,01,003,2012,7.7
Alabama,AL,Baldwin,01,003,2013,6.8
Alabama,AL,Baldwin,01,003,2014,6.1
Alabama,AL,Baldwin,01,003,2015,5.5
Alabama,AL,Baldwin,01,003,2016,4.9
Alabama,AL,Baldwin,01,003,2017,3.8
Alabama,AL,Baldwin,01,003,2018,3.3
Alabama,AL,Baldwin,01,003,2019,2.7
Alabama,AL,Baldwin,01,003,2020,5.7
